Pattern,Matches,Clue,Answer,Quality,Reviewed
_etail,detail retail,,,,True
_dder,udder adder,,,,True
b_lting,belting bolting,,,,True
o_l,oil owl,Painting of a raptor,Oil owl,3,True
_el,del bel eel,,,,True
si_h,sigh sich,,,,True
_rea,area urea,,,,True
fla_ing,flaming flaring,,,,True
g_lf,gulf golf,Huge water hazard on the links,Golf gulf,3,True
_odium,sodium podium,,,,True
_tone,stone atone,Sacrificial altar,Atone stone,3,True
si_a,siva sima sida,,,,True
rot_,rote rota,,,,True
ho_e,home hope hole hose hove hone hore,,,,True
ca_er,cater caper,,,,True
go_f,golf goff,,,,True
raf_,raft raff,,,,True
m_w,mow mew maw,,,,True
f_rthest,farthest furthest,,,,True
_ode,code mode node rode lode bode,,,,True
do_r,door doer dorr dour,,,,True
ann_al,annual anneal,Heat and cool yearly,Annual anneal,3,True
stoo_,stood stool stoop,,,,True
_eception,reception deception,Front desk ruse,Reception deception,3,True
_oon,soon moon noon boon coon loon,,,,True
sal_on,salmon saloon,,,,True
spe_ter,specter spelter,,,,True
hu_t,hurt hunt,,,,True
boo_,book boom boot boon boor,,,,True
plan_er,planner planter,,,,True
anarchis_,anarchist anarchism,,,,True
s_irk,smirk shirk,,,,True
a_o,ago ano ado,,,,True
_ias,bias lias,,,,True
hoo_,hook hood hoop hoof hoot,,,,True
b_nch,bench bunch,B team,Bench bunch,2,True
per_on,person perron,,,,True
un_o,unto undo,,,,True
a_ine,amine aline,,,,True
p_nk,pink punk,,,,True
s_mmer,summer simmer,,,,True
gene_a,geneva genera,,,,True
t_ar,tear tsar thar,,,,True
_assive,massive passive,,,,True
his_,hist hiss,,,,True
cra_fish,crayfish crawfish,,,,True
diver_e,diverse diverge,,,,True
new_,news newt,Amphibian tidings,Newt news,2,True
a_en,amen agen,,,,True
s_otted,spotted slotted,,,,True
gai_,gain gait,,,,True
_eiling,ceiling veiling,,,,True
ove_,over oven,Where a range's burners are,Over oven,2,True
_aller,waller caller,,,,True
w_ite,white write,Scribe in invisible ink?,Write white,3,True
_had,chad shad,,,,True
_hrew,threw shrew,Chucked a mole,Threw shrew,3,True
gr_te,grate grote grete,,,,True
asse_t,assert assent,Forcfully agree,Assert assent,3,True
port_,porte porta,,,,True
tha_,that than thaw thar,,,,True
_mmanuel,emmanuel immanuel,,,,True
m_ddling,middling meddling,Mild interference,Middling meddling,3,True
c_eek,creek cheek,A cried river,Cheek creek,3,True
c_pe,cape cope,,,,True
g_nder,gender gander,,,,True
martia_,martial martian,,,,True
g_at,goat gnat ghat,,,,True
g_nning,ginning gunning,,,,True
dr_pping,dropping dripping,,,,True
go_ge,gorge gouge,,,,True
che_t,chest cheat chert,,,,True
s_aly,scaly shaly,,,,True
_airy,dairy fairy hairy,Cheese with fuzzy mold,Hairy dairy,2,True
spong_,sponge spongy,,,,True
boo_y,booty booby,,,,True
an_e,ante ance,,,,True
sta_es,staves stapes,,,,True
_ighten,tighten lighten,,,,True
t_ice,twice trice,Two times quickly,Twice trice,1,True
sa_ling,sailing sapling,Young tree on a sea voyage,Sailing sapling,2,True
t_in,thin twin tain,,,,True
_enture,venture denture,Artificial teeth startup,Denture venture,3,True
divide_,divided divider,,,,True
la_der,ladder lander lauder larder,,,,True
b_sh,bush bash,,,,True
_rout,trout grout,,,,True
f_ank,frank flank,,,,True
s_ifter,shifter swifter,,,,True
a_ed,aged abed,,,,True
d_re,dare dire dere,,,,True
sp_re,spare spore spire,Leftover church topper,Spare spire,3,True
_enter,center renter venter,,,,True
kee_er,keeper keener keeler,,,,True
mant_a,mantra mantua,,,,True
s_out,stout shout scout snout spout,Very runny nose,Snout spout,2,True
pic_ic,picnic picric,,,,True
chi_ping,chipping chirping,,,,True
fie_d,field fiend,Baseball enthusiast,Field fiend,1,True
salin_,saline salina,,,,True
co_ing,coming coping,,,,True
who_e,whole whose whore,,,,True
_uffy,buffy puffy,,,,True
la_eness,lameness lateness,,,,True
fee_,feet feel feed,,,,True
bell_,belly belle,,,,True
wr_ng,wrong wrung wring,,,,True
s_da,soda sida,,,,True
bo_ster,booster bolster,,,,True
_ffect,effect affect,,,,True
no_,not now non nor nod nom nob,,,,True
_lower,flower blower,,,,True
_opping,topping hopping popping,,,,True
ba_que,basque barque,,,,True
_vocation,evocation avocation,,,,True
_itigate,mitigate litigate,,,,True
_aiser,kaiser raiser,Roman emperor's parent,Kaiser raiser,1,True
_lag,flag slag,,,,True
ga_e,gave game gate gaze gage gale gape gare,,,,True
sel_,self sell,Promote one's own abilities,Self sell,3,True
fla_k,flank flask,,,,True
_etake,retake betake,,,,True
_nto,into unto onto,,,,True
ten_h,tenth tench,,,,True
_oing,going doing,,,,True
_lover,clover glover plover,,,,True
b_cket,bucket becket,,,,True
m_s,mus mis mos,,,,True
clea_ing,cleaning clearing,,,,True
_arol,carol parol,,,,True
b_each,breach bleach,,,,True
marke_,market marked marker,,,,True
_aul,paul haul saul gaul maul,Lug a TV lawyer,Haul saul,2,True
eight_,eighth eighty,,,,True
m_ra,mara mora mira,,,,True
_it,bit fit sit hit wit cit pit lit kit tit git dit ait nit rit,,,,True
cr_shing,crushing crashing,,,,True
_oist,moist hoist joist,Damp floor support,Moist joist,3,True
sta_ling,starling stalling,,,,True
fla_,flat flag flap flax flaw,,,,True
o_en,open oven owen omen,,,,True
car_er,career carter carver,Long-time slicer,Career carver,3,True
jovia_,jovial jovian,,,,True
red_ction,reduction redaction,,,,True
show_,shown showy,,,,True
t_p,top tip tap,,,,True
_ollar,dollar collar,,,,True
mul_,mule mull,,,,True
re_it,remit refit,,,,True
in_er,inner inter infer,,,,True
f_ee,free flee,,,,True
l_rd,lord lard,,,,True
to_l,tool toll toil,,,,True
fou_,four foul,,,,True
kno_,know knot knob,,,,True
cro_se,crosse crouse,,,,True
te_th,teeth tenth,,,,True
shru_,shrub shrug,,,,True
_ishing,fishing wishing,,,,True
thre_,three threw,,,,True
ti_er,tiger timer,One calculating big cat pace,Tiger timer,3,True
o_ion,onion orion,,,,True
continu_,continue continuo,,,,True
matte_,matter matted,,,,True
ten_,tend tent,,,,True
re_ound,rebound resound redound,,,,True
aw_y,away awry,,,,True
_odge,lodge dodge,,,,True
se_er,sewer sever,,,,True
_rog,frog prog grog,,,,True
_lur,blur slur,,,,True
bre_d,bread breed,,,,True
_inker,tinker sinker,,,,True
_iled,piled oiled,,,,True
par_er,parker parser,,,,True
s_rge,surge serge,,,,True
_eceive,receive deceive,,,,True
cul_,cult cull culm,,,,True
operan_,operant operand,,,,True
_eceptive,receptive deceptive,,,,True
sim_le,simple simile,Straightforward analogy,Simple simile,3.0,True
chi_k,chick chink,,,,True
s_lo,solo silo,Lone grain tower,Solo silo,2,True
_de,ode ide,,,,True
pu_a,pupa puma,,,,True
und_,undo unde,,,,True
l_nge,longe lunge,Diving onto the couch,Lounge lunge,3,True
whea_,wheat wheal,,,,True
under_ine,undermine underline,,,,True
_ad,had bad sad dad mad lad pad cad rad nad fad wad gad,,,,True
_inter,winter sinter,,,,True
coli_,colin colic,,,,True
s_ri,sari sori,,,,True
nee_,need neer,,,,True
_evere,severe revere,Think highly of sternness,Revere severe,2,True
_rim,trim grim brim prim,Reducing hat overhang,Brim trim,3,True
_lame,flame blame,,,,True
_illage,village tillage pillage,Raiding a small town,Village pillage,3,True
m_ser,miser maser,,,,True
s_udge,sludge smudge,,,,True
_etting,getting setting netting,Fetching fishing supplies,Getting netting,2,True
tou_,tour tout,,,,True
ta_er,taper taker taber tamer,,,,True
bu_ter,butter buster,,,,True
_oyalist,royalist loyalist,,,,True
_oment,moment foment,Time when trouble begins brewing,,,True
grave_,gravel graves graver graven,,,,True
_armer,farmer warmer,Padded overalls,Farmer warmer,,True
litera_y,literary literacy,,,,True
_ro,pro fro,,,,True
sti_e,stile stipe,,,,True
ston_,stone stony,,,,True
dr_ly,dryly drily,,,,True
le_ter,letter lester,,,,True
gallant_y,gallantry gallantly,,,,True
real_y,really realty,Seriously property,Really realty,3.0,True
_ont,mont font wont,,,,
ke_l,keel kell,,,,
b_ard,board beard,,,,
twi_,twin twig,,,,
qu_ck,quick quack,,,,
lic_,lick lice,,,,
w_en,when wren ween,,,,
bran_,brand brant,,,,
_obby,lobby bobby hobby,,,,
_ormal,normal formal,,,,
ke_,key ken kee keg ket,,,,
t_ff,tuff tiff,,,,
defen_e,defense defence,,,,
p_cket,pocket packet picket,,,,
cl_d,clad clod,,,,
s_lly,silly sally sully,,,,
_raft,draft craft graft,,,,
dr_p,drop drip,,,,
d_e,due die doe dye,,,,
sh_ed,shred shied,,,,
to_t,tort tout toot,,,,
but_er,butter butler,,,,
_ham,sham cham,,,,
_apture,capture rapture,,,,
cran_,crane crank,,,,
_ostly,mostly costly,Generally expensive,Mostly costly,3.0,True
_iler,filer oiler,,,,
_rgent,urgent argent,,,,
_rong,wrong prong,,,,
c_atter,chatter clatter,,,,
cr_ed,cried creed,,,,
s_rung,sprung strung,,,,
r_cket,rocket racket,,,,
ho_r,hour hoar,,,,
yan_,yang yank,,,,
te_ming,teeming teaming,,,,
dive_,diver dives,,,,
ma_or,major mayor manor,,,,
_ail,mail fail rail tail jail sail bail nail hail pail wail vail,,,,
pa_s,pass pais,,,,
a_titude,attitude altitude aptitude,,,,
gar_,garb gard gare,,,,
f_b,fob fib,,,,
ever_,every evert,,,,
_ubble,bubble rubble,,,,
_ora,cora mora,,,,
cou_ter,counter coulter,,,,
v_le,vale vile vole,,,,
a_ise,arise anise,,,,
_ily,lily oily wily,,,,
re_el,rebel repel revel,,,,
_rake,brake drake,,,,
p_pa,papa pupa,,,,
er_,era ere ers err ern erg erf,,,,
gus_,gust gush,,,,
ma_ia,mania mafia,,,,
_lement,element clement,,,,
p_under,plunder pounder,,,,
t_ing,thing tying,,,,
_hone,phone shone,,,,
_ose,rose lose dose nose pose hose,,,,
t_ck,tick tack tuck,,,,
bra_d,brand braid,,,,
s_ark,spark stark shark,,,,
capr_,capri capra,,,,
wil_,will wild wilt wily wile,,,,
di_er,diver diner,,,,
cli_,clip clio,,,,
f_d,fed fad fid,,,,
_ried,tried cried dried fried pried,,,,
_oul,soul foul woul,,,,
w_rd,word ward,,,,
_urf,turf surf,,,,
_uncture,juncture puncture,,,,
_hereunto,thereunto whereunto,,,,
_acket,jacket packet racket,,,,
_aking,making taking baking waking raking,,,,True
_etty,petty betty jetty,,,,
c_ef,chef clef,,,,
r_ce,race rice,,,,
se_s,sess sens,,,,
a_ter,after alter aster atter,,,,
pi_e,pipe pine pile pike,,,,
_ightness,lightness tightness rightness,,,,
travele_,traveled traveler,,,,
b_m,bom bum bam,,,,
m_nd,mind mend mand,,,,
sl_de,slide slade,,,,
_icked,picked wicked,,,,
_asque,basque masque,,,,
syria_,syrian syriac,,,,
v_gue,vague vogue,,,,
barre_,barrel barren,,,,
ju_,jug jut,,,,
mulle_,muller mullen mullet,,,,
t_l,til tol,,,,
_rete,crete grete,,,,
sn_p,snap snip,,,,
pro_,prop prod prog prow,,,,
awa_e,aware awake,,,,
_orch,porch torch,,,,
sali_a,saliva salina,,,,
we_,web wet wee wed wen,,,,
po_tman,postman portman,,,,
f_r,for far fur fir fer,,,,
_urely,surely purely,,,,
cr_st,crest crust,,,,
c_rd,card cord curd,,,,
n_tional,national notional,,,,
carro_,carrot carrol,,,,
st_cker,sticker stocker,,,,
_aced,faced laced,,,,
ru_ble,rubble rumble,,,,
_ying,lying dying tying vying,,,,
_new,knew anew,,,,
sta_t,start stant,,,,
h_ve,have hive hove,,,,
a_k,ask ark auk,,,,
lia_,liar lias,,,,
_rown,brown grown crown frown drown,,,,
side_,sided sider,,,,
_atten,patten batten fatten,,,,
c_pher,cipher cypher,,,,
mahome_an,mahomedan mahometan,,,,
_urt,hurt burt curt,,,,
_are,care rare bare dare fare ware hare mare pare tare gare,,,,
practi_e,practice practise,,,,
g_ve,give gave gove,,,,
bl_ck,black block,,,,
_erk,jerk werk perk,,,,
_andle,handle candle,,,,
arca_e,arcade arcane,,,,
s_e,she see sue soe sle,,,,
_ug,dug tug bug hug rug mug jug lug sug pug,,,,
tong_,tonga tongs,,,,
_ore,more core bore wore fore sore pore tore gore lore yore hore,,,,
spea_,speak spear,,,,
mag_,magi mage,,,,
cho_e,chose choke chore,,,,
_asal,basal nasal,,,,
_esign,design resign,Quit motif,Resign design,2.0,True
spe_t,spent spelt,,,,
shor_,short shore shorn,,,,
_idst,midst didst,,,,
p_rry,perry parry,,,,
crea_,cream creak,,,,
me_,men met mew,,,,
stun_,stung stunt,,,,
cr_cker,crocker cracker,,,,
_etter,better letter fetter setter getter,,,,
_annery,cannery tannery,,,,
fr_ction,fraction friction,,,,
prop_l,propel propyl,,,,
strip_ing,stripping stripling,,,,
_urge,surge purge,,,,
_eddling,meddling peddling,,,,
de_ent,decent detent,,,,
lodge_,lodged lodger,,,,
b_st,best bust bast,,,,
_rc,arc orc,,,,
flatte_,flatter flatten,,,,
exc_se,excuse excise,,,,
i_ch,inch itch,,,,
mo_te,monte motte,,,,
_into,pinto tinto,,,,
_wn,own awn,,,,
do_n,down dorn,,,,
b_rton,burton barton,,,,
w_nder,wonder wander winder,,,,
_ever,never fever lever sever,,,,
ma_que,masque marque,,,,
_ease,lease cease pease tease,,,,
_oney,money honey coney,,,,
appea_,appear appeal,,,,True
webbe_,webber webbed,,,,
in_ense,intense incense,,,,
pea_,peak peat pear peal,,,,
m_ce,mice mace,,,,
_ripe,gripe tripe,,,,
f_ster,foster faster,,,,
g_psy,gypsy gipsy,,,,
_wig,twig swig,,,,
_end,send tend bend lend mend rend fend wend pend vend,,,,
_ous,nous sous,,,,
r_ta,rata rota,,,,
intrude_,intruder intruded,,,,
_ives,gives lives wives hives dives fives,,,,
burs_,burst bursa,,,,
b_oker,broker booker,,,,
bog_e,bogie bogue,,,,
_uel,fuel duel,,,,
_epress,depress repress,,,,
_iliary,biliary ciliary miliary,,,,
r_ve,rave rove rive,,,,
reveren_,reverend reverent,,,,
la_ent,latent lament,,,,
l_gging,logging lagging,,,,
war_ing,warning warming warping,,,,
b_ast,blast beast boast,,,,
adduc_,adduce adduct,,,,
r_sen,risen rosen,,,,
fl_sh,flesh flash flush,,,,
wi_d,wind wild,,,,
fil_er,filter filler,,,,
_artel,cartel martel,,,,
t_ee,tree thee,,,,
se_ing,seeing sewing,Watching a darner,Seeing sewing,2.0,True
inh_bit,inhibit inhabit,,,,
elasti_,elastic elastin,,,,
bracke_,bracket bracken,,,,
_oan,loan moan roan,,,,
bre_t,brent brett brest,,,,
_han,than khan whan,,,,
bow_er,bowler bowyer,,,,
w_ry,wary wiry,,,,
t_oth,tooth troth,,,,
gras_,grass grasp,,,,
g_aring,glaring gearing,,,,
b_dge,badge budge,,,,
_oming,coming homing,,,,True
for_e,force forge forte forme,,,,
smu_,smut smug,,,,
p_lp,pulp palp,,,,
ra_ial,racial radial,,,,
_espite,despite respite,,,,
stan_,stand stant,,,,
whi_per,whisper whimper,,,,
_arning,warning earning,,,,
_eset,beset reset,,,,
sti_king,sticking stinking,,,,
exci_e,excise excite,,,,
_ogged,logged dogged,,,,
_rudge,grudge drudge,,,,
f_ll,full fall fell fill,,,,
chaf_,chaff chafe,,,,
u_e,use ure,,,,
_ense,sense dense tense,,,,
m_stic,mystic mastic,,,,
horne_,horned horner hornet,,,,
b_tch,batch bitch,,,,
dem_,demy demi,,,,
dispe_se,dispense disperse,,,,
por_,port pork pore,,,,
r_m,ram rim rum,,,,
_unting,hunting bunting,,,,
_utter,butter cutter gutter mutter rutter nutter,,,,
_ha,cha aha,,,,
_rail,trail frail grail,,,,
th_ng,thing thong,,,,
_osy,rosy cosy,,,,
_oat,boat coat goat moat,,,,
str_ng,strong string strung strang,,,,True
fai_,fair fail fain,,,,
r_se,rise rose ruse,,,,
a_p,asp alp,,,,
t_ey,they trey,,,,
_ust,must just dust rust lust bust gust oust fust,,,,
ser_ne,serene serine,,,,
_ornet,cornet hornet,,,,
spoo_,spoon spool spook,,,,
doub_ing,doubling doubting,,,,
_arner,warner garner,,,,
h_d,had hid hud hod,,,,
s_earing,shearing swearing,,,,
wo_e,wore woke wove,,,,
f_et,feet fret,,,,
l_me,lime lame,,,,
mur_y,murky murry,,,,
c_ss,cass cess,,,,
s_eeper,sleeper steeper sweeper,,,,
beg_n,begin begun,,,,
_utch,dutch hutch,,,,
_imple,simple dimple,,,,
_une,june tune dune lune rune,,,,
e_se,else ease,,,,
co_ical,conical comical,,,,
_lk,elk ilk,,,,
vi_la,villa viola,,,,
fa_ry,fairy faery,,,,
flu_,flux flue,,,,
bab_,baby babe baba babu,,,,
st_cking,sticking stocking stacking,,,,
c_assis,chassis classis,,,,
_igger,bigger nigger digger,,,,
s_ung,swung stung slung,,,,
tra_tor,tractor traitor,,,,
_all,call fall wall hall ball tall mall gall pall,,,,
s_ock,stock shock smock,,,,
normal_y,normally normalcy,,,,
pa_ker,parker packer,,,,
m_ck,mock muck,,,,
_aber,taber saber,,,,
co_fer,confer coffer,,,,
m_ster,master muster mister,,,,
tac_,tact tack,,,,
_os,los mos bos sos eos,,,,
idl_,idle idly,,,,
